rank,term,avg_tfidf,doc_frequency,ngram_n
299,artikel,0.011036809572262442,46,1
300,benjamin netanyahu,0.011029091366557916,59,2
301,eskalasi,0.011017173853227917,56,1
302,bangunan,0.011015087401730876,40,1
303,iran mojtaba,0.010981307907790375,48,2
304,hubungan,0.010972868128084701,53,1
305,keputusan,0.010939835576798675,55,1
306,mohammad,0.010916843374222999,59,1
307,tulis,0.010912054872501025,57,1
308,putri,0.010848007246774054,42,1
309,dipilih,0.010792347129893855,48,1
310,israel amerika serikat,0.010743836551440844,54,3
311,menghadapi,0.010742223618755086,59,1
312,menyerukan,0.010741339511818375,56,1
313,tayang,0.010723369158056703,42,1
314,artikel tayang,0.010723369158056703,42,2
315,jakarta,0.010718398304750432,43,1
316,orang tewas,0.010684948536424724,50,2
317,khamenei iran,0.010644726856656659,45,2
318,asisrael iran,0.010637373127921004,57,2
319,iran serangan,0.010582654193331566,49,2
320,kematian pemimpin,0.010550534624550622,54,2
321,suara,0.010536160611921756,38,1
322,ketegangan,0.010518618283488766,57,1
323,pangkalan militer,0.010511703877862363,55,2
324,proses,0.010508960263752603,49,1
325,hasil,0.010489012208174164,35,1
326,meningkat,0.010486348140909334,55,1
327,berhasil,0.010474569886058056,37,1
328,rezim iran,0.010388346468152437,52,2
329,lembaga,0.010379359278376646,52,1
330,dianggap,0.010367952335538978,55,1
331,iran tewas,0.010357163637579464,43,2
332,ekonomi,0.010344869721140744,48,1
333,irak,0.010331859738643208,47,1
334,serangan amerika,0.010316452484990959,59,2
335,dekade,0.010314710420880398,56,1
336,malam,0.010307405136986738,48,1
337,rumah,0.010299799667205334,37,1
338,sekolah,0.010295354173220915,46,1
339,otoritas,0.010273838080304224,53,1
340,masoud,0.010266936590709656,51,1
341,musuh,0.010253572116122748,46,1
342,kapal,0.01022347349741793,32,1
343,tindakan,0.010221834004844995,54,1
344,aksi,0.010219609367444791,46,1
345,with,0.010180529481740412,56,1
346,the,0.010136324359517383,42,1
347,iran pemimpin tertinggi,0.01011745863584765,56,3
348,cucu,0.010095922934501489,53,1
349,truth,0.010091616932738669,51,1
350,suci,0.010063521024183623,46,1
351,militer israel,0.010053400658190745,43,2
352,dukungan,0.010019561523359744,44,1
353,pemilihan,0.010011218392506294,49,1
354,arab saudi,0.01000159800239495,39,2
355,terbaru,0.009973701447623025,48,1
356,media iran,0.009942668686645256,54,2
357,gedung,0.009925050118938903,45,1
358,global,0.00988919026588816,44,1
359,continue,0.009864286991314503,54,1
360,israel benjamin,0.009817519827542587,53,2
361,media pemerintah,0.009810999094384813,49,2
362,pekan,0.009783296635988219,47,1
363,pidato,0.009767735301506437,35,1
364,israel benjamin netanyahu,0.009737614174561017,52,3
365,agama,0.009717015227548158,47,1
366,kematian pemimpin tertinggi,0.009712194558239592,48,3
367,pernyataan,0.009682682701478698,45,1
368,iran khamenei,0.009680943666782823,51,2
369,menteri israel,0.009669376627543596,52,2
370,libur,0.009665792062266492,50,1
371,bom,0.009663509661715555,45,1
372,jabatan,0.00966055182780474,49,1
373,serang,0.009654982137080218,53,1
374,garda revolusi iran,0.00964750349418683,47,3
375,pemakaman,0.009615713242639561,22,1
376,masoud pezeshkian,0.009607320905839007,49,2
377,laut,0.00959571898517069,43,1
378,kawasan timur,0.009565890444913247,48,2
379,bangsa,0.009548901250662442,40,1
380,televisi pemerintah,0.009534677122615623,48,2
381,menteri israel benjamin,0.009531846730780688,51,3
382,terbesar,0.009454595313109597,46,1
383,reza,0.009446401532484185,35,1
384,pertemuan,0.00944125449513622,39,1
385,menghantam,0.009439893233870537,38,1
386,pahlavi,0.009424087865510177,32,1
387,menantu,0.009412816412896222,41,1
388,social,0.009409765963405922,47,1
389,perdana menteri israel,0.009407928637158506,50,3
390,masyarakat,0.009388574254675305,47,1
